customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn Prediction,Churn Probability,Risk Score,Risk Level,Customer Risk Score,Customer Tenure Months,Monthly Charge Value,Total Customer Value,Customer Risk Segment,Tenure Segment,Spending Segment,Customer Value Segment,Strategic Segment
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,0,Retained,17.49,17.49,Low,17.49,13,49.95,587.45,Low,Developing Customer,Medium Value,Low Value,Stable Customer
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,0,Retained,2.41,2.41,Low,2.41,16,18.95,326.8,Low,Developing Customer,Low Value,Low Value,Stable Customer
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,0,Retained,28.67,28.67,Medium,28.67,58,100.35,5681.1,Medium,Loyal Customer,High Value,Very High Value,Medium-Risk High-Value
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1,Churn,79.93,79.93,Critical,79.93,49,103.7,5036.3,Critical,Loyal Customer,High Value,Very High Value,Critical High-Value
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,0,Churn,67.08,67.08,High,67.08,25,105.5,2686.05,High,Established Customer,High Value,High Value,High-Value At-Risk
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,0,Retained,4.37,4.37,Low,4.37,69,113.25,7895.15,Low,Loyal Customer,High Value,Very High Value,Loyal Customer
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,0,Retained,2.35,2.35,Low,2.35,52,20.65,1022.95,Low,Loyal Customer,Low Value,Medium Value,Loyal Customer
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,0,Retained,18.4,18.4,Low,18.4,71,106.7,7382.25,Low,Loyal Customer,High Value,Very High Value,Loyal Customer
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,1,Retained,35.11,35.11,Medium,35.11,10,55.2,528.35,Medium,Developing Customer,Medium Value,Low Value,Watchlist Customer
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,0,Churn,61.0,61.0,High,61.0,21,90.05,1862.9,High,Developing Customer,High Value,Medium Value,High-Value At-Risk
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,1,Churn,96.28,96.28,Critical,96.28,1,39.65,39.65,Critical,New Customer,Low Value,Low Value,Critical At-Risk
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,0,Retained,10.0,10.0,Low,10.0,12,19.8,202.25,Low,Developing Customer,Low Value,Low Value,Stable Customer
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,1,Churn,70.67,70.67,High,70.67,1,20.15,20.15,High,New Customer,Low Value,Low Value,New Customer At-Risk
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,0,Retained,5.43,5.43,Low,5.43,58,59.9,3505.1,Low,Loyal Customer,Medium Value,High Value,Loyal Customer
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,0,Retained,16.67,16.67,Low,16.67,49,59.6,2970.3,Low,Loyal Customer,Medium Value,High Value,Loyal Customer
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,0,Retained,28.84,28.84,Medium,28.84,30,55.3,1530.6,Medium,Established Customer,Medium Value,Medium Value,Watchlist Customer
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,1,Churn,73.28,73.28,High,73.28,47,99.35,4749.15,High,Established Customer,High Value,High Value,High-Value At-Risk
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,1,Churn,77.77,77.77,Critical,77.77,1,30.2,30.2,Critical,New Customer,Low Value,Low Value,Critical At-Risk
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,0,Retained,0.09,0.09,Low,0.09,72,90.25,6369.45,Low,Loyal Customer,High Value,Very High Value,Loyal Customer
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,1,Churn,69.45,69.45,High,69.45,17,64.7,1093.1,High,Developing Customer,Medium Value,Medium Value,High-Risk Customer
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,0,Retained,4.6,4.6,Low,4.6,71,96.35,6766.95,Low,Loyal Customer,High Value,Very High Value,Loyal Customer
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0,Churn,70.22,70.22,High,70.22,2,95.5,181.65,High,New Customer,High Value,Low Value,High-Value At-Risk
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,0,Retained,12.41,12.41,Low,12.41,27,66.15,1874.45,Low,Established Customer,Medium Value,Medium Value,Stable Customer
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0,Retained,46.89,46.89,Medium,46.89,1,20.2,20.2,Medium,New Customer,Low Value,Low Value,Watchlist Customer
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0,Churn,64.33,64.33,High,64.33,1,45.25,45.25,High,New Customer,Medium Value,Low Value,New Customer At-Risk
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,0,Retained,8.22,8.22,Low,8.22,72,99.9,7251.7,Low,Loyal Customer,High Value,Very High Value,Loyal Customer
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,Churn,80.1,80.1,Critical,80.1,5,69.7,316.9,Critical,New Customer,Medium Value,Low Value,Critical At-Risk
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,0,Retained,41.07,41.07,Medium,41.07,46,74.8,3548.3,Medium,Established Customer,Medium Value,High Value,Watchlist Customer
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,1,Churn,79.17,79.17,Critical,79.17,34,106.35,3549.25,Critical,Established Customer,High Value,High Value,Critical High-Value
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,Churn,93.73,93.73,Critical,93.73,11,97.85,1105.4,Critical,Developing Customer,High Value,Medium Value,Critical High-Value
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,0,Retained,22.22,22.22,Low,22.22,10,49.55,475.7,Low,Developing Customer,Medium Value,Low Value,Stable Customer
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,0,Retained,3.71,3.71,Low,3.71,70,69.2,4872.35,Low,Loyal Customer,Medium Value,High Value,Loyal Customer
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,0,Retained,5.0,5.0,Low,5.0,17,20.75,418.25,Low,Developing Customer,Low Value,Low Value,Stable Customer
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,0,Retained,6.49,6.49,Low,6.49,63,79.85,4861.45,Low,Loyal Customer,Medium Value,High Value,Loyal Customer
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,0,Retained,35.91,35.91,Medium,35.91,13,76.2,981.45,Medium,Developing Customer,Medium Value,Low Value,Watchlist Customer
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,0,Churn,69.55,69.55,High,69.55,49,84.5,3906.7,High,Loyal Customer,High Value,High Value,High-Value At-Risk
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,0,Churn,59.45,59.45,High,59.45,2,49.25,97.0,High,New Customer,Medium Value,Low Value,New Customer At-Risk
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,Churn,90.11,90.11,Critical,90.11,2,80.65,144.15,Critical,New Customer,High Value,Low Value,Critical High-Value
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,0,Retained,6.17,6.17,Low,6.17,52,79.75,4217.8,Low,Loyal Customer,Medium Value,High Value,Loyal Customer
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,0,Retained,11.73,11.73,Low,11.73,69,64.15,4254.1,Low,Loyal Customer,Medium Value,High Value,Loyal Customer
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,0,Churn,67.01,67.01,High,67.01,43,90.25,3838.75,High,Established Customer,High Value,High Value,High-Value At-Risk
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,Churn,75.89,75.89,Critical,75.89,15,99.1,1426.4,Critical,Developing Customer,High Value,Medium Value,Critical High-Value
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0,Retained,20.21,20.21,Low,20.21,25,69.5,1752.65,Low,Established Customer,Medium Value,Medium Value,Stable Customer
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,Churn,83.1,83.1,Critical,83.1,8,80.65,633.3,Critical,Developing Customer,High Value,Low Value,Critical High-Value
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,0,Retained,13.73,13.73,Low,13.73,60,74.85,4456.35,Low,Loyal Customer,Medium Value,High Value,Loyal Customer
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,Churn,87.99,87.99,Critical,87.99,18,95.45,1752.55,Critical,Developing Customer,High Value,Medium Value,Critical High-Value
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,0,Retained,32.29,32.29,Medium,32.29,63,99.65,6311.2,Medium,Loyal Customer,High Value,Very High Value,Medium-Risk High-Value
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,0,Retained,34.73,34.73,Medium,34.73,66,108.45,7076.35,Medium,Loyal Customer,High Value,Very High Value,Medium-Risk High-Value
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,0,Retained,1.1,1.1,Low,1.1,34,24.95,894.3,Low,Established Customer,Low Value,Low Value,Stable Customer
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,0,Retained,23.07,23.07,Low,23.07,72,107.5,7853.7,Low,Loyal Customer,High Value,Very High Value,Loyal Customer
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,0,Churn,70.21,70.21,High,70.21,47,100.5,4707.1,High,Established Customer,High Value,High Value,High-Value At-Risk
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,0,Retained,48.97,48.97,Medium,48.97,60,89.9,5450.7,Medium,Loyal Customer,High Value,Very High Value,Medium-Risk High-Value
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,0,Retained,5.37,5.37,Low,5.37,72,42.1,2962.0,Low,Loyal Customer,Medium Value,High Value,Loyal Customer
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,0,Retained,18.53,18.53,Low,18.53,18,54.4,957.1,Low,Developing Customer,Medium Value,Low Value,Stable Customer
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,Churn,83.41,83.41,Critical,83.41,9,94.4,857.25,Critical,Developing Customer,High Value,Low Value,Critical High-Value
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,0,Retained,40.26,40.26,Medium,40.26,3,75.3,244.1,Medium,New Customer,Medium Value,Low Value,Watchlist Customer
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,0,Retained,21.35,21.35,Low,21.35,47,78.9,3650.35,Low,Established Customer,Medium Value,High Value,Stable Customer
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,0,Retained,8.01,8.01,Low,8.01,31,79.2,2497.2,Low,Established Customer,Medium Value,Medium Value,Stable Customer
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,0,Retained,0.48,0.48,Low,0.48,50,20.15,930.9,Low,Loyal Customer,Low Value,Low Value,Loyal Customer
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,0,Retained,44.59,44.59,Medium,44.59,10,79.85,887.35,Medium,Developing Customer,Medium Value,Low Value,Watchlist Customer
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,0,Retained,49.34,49.34,Medium,49.34,1,49.05,49.05,Medium,New Customer,Medium Value,Low Value,Watchlist Customer
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,0,Retained,3.69,3.69,Low,3.69,52,20.4,1090.65,Low,Loyal Customer,Low Value,Medium Value,Loyal Customer
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,0,Retained,27.05,27.05,Medium,27.05,64,111.6,7099.0,Medium,Loyal Customer,High Value,Very High Value,Medium-Risk High-Value
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0,Retained,1.43,1.43,Low,1.43,62,24.25,1424.6,Low,Loyal Customer,Low Value,Medium Value,Loyal Customer
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0,Retained,39.75,39.75,Medium,39.75,3,64.5,177.4,Medium,New Customer,Medium Value,Low Value,Watchlist Customer
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,0,Retained,35.85,35.85,Medium,35.85,56,110.5,6139.5,Medium,Loyal Customer,High Value,Very High Value,Medium-Risk High-Value
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,0,Retained,15.45,15.45,Low,15.45,46,55.65,2688.85,Low,Established Customer,Medium Value,High Value,Stable Customer
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,0,Retained,31.16,31.16,Medium,31.16,8,54.65,482.25,Medium,Developing Customer,Medium Value,Low Value,Watchlist Customer
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,0,Retained,35.41,35.41,Medium,35.41,30,74.75,2111.3,Medium,Established Customer,Medium Value,Medium Value,Watchlist Customer
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,0,Retained,3.58,3.58,Low,3.58,45,25.9,1216.6,Low,Established Customer,Low Value,Medium Value,Stable Customer
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,1,Churn,90.04,90.04,Critical,90.04,1,79.35,79.35,Critical,New Customer,Medium Value,Low Value,Critical At-Risk
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,0,Retained,37.57,37.57,Medium,37.57,11,50.55,565.35,Medium,Developing Customer,Medium Value,Low Value,Watchlist Customer
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,Churn,86.03,86.03,Critical,86.03,7,75.15,496.9,Critical,Developing Customer,Medium Value,Low Value,Critical At-Risk
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0,Retained,38.08,38.08,Medium,38.08,42,103.8,4327.5,Medium,Established Customer,High Value,High Value,Medium-Risk High-Value
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,0,Retained,1.54,1.54,Low,1.54,49,20.15,973.35,Low,Loyal Customer,Low Value,Low Value,Loyal Customer
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0,Churn,90.47,90.47,Critical,90.47,9,99.3,918.75,Critical,Developing Customer,High Value,Low Value,Critical High-Value
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,0,Retained,5.63,5.63,Low,5.63,35,62.15,2215.45,Low,Established Customer,Medium Value,Medium Value,Stable Customer
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,0,Retained,1.68,1.68,Low,1.68,48,20.65,1057.0,Low,Established Customer,Low Value,Medium Value,Loyal Customer
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,0,Retained,0.75,0.75,Low,0.75,46,19.95,927.1,Low,Established Customer,Low Value,Low Value,Stable Customer
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,0,Retained,40.88,40.88,Medium,40.88,29,33.75,1009.25,Medium,Established Customer,Low Value,Medium Value,Watchlist Customer
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,0,Retained,32.1,32.1,Medium,32.1,30,82.05,2570.2,Medium,Established Customer,High Value,High Value,Medium-Risk High-Value
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,0,Churn,56.21,56.21,High,56.21,1,74.7,74.7,High,New Customer,Medium Value,Low Value,New Customer At-Risk
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,0,Retained,4.94,4.94,Low,4.94,66,84.0,5714.25,Low,Loyal Customer,High Value,Very High Value,Loyal Customer
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,0,Retained,31.37,31.37,Medium,31.37,65,111.05,7107.0,Medium,Loyal Customer,High Value,Very High Value,Medium-Risk High-Value
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,0,Retained,22.71,22.71,Low,22.71,72,100.9,7459.05,Low,Loyal Customer,High Value,Very High Value,Loyal Customer
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,1,Churn,73.73,73.73,High,73.73,12,78.95,927.35,High,Developing Customer,Medium Value,Low Value,High-Risk Customer
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,0,Retained,7.83,7.83,Low,7.83,71,66.85,4748.7,Low,Loyal Customer,Medium Value,High Value,Loyal Customer
