customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn Prediction,Churn Probability,Risk Score,Risk Level,Prediction Method,Customer Risk Score,Customer Value,Strategic Segment,Retention Priority,Priority Rank,Revenue At Risk,Recommended Action,Retention Recommendation,Retention Urgency Score,Recommended Channel
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,0,Retained,10.0,10.0,Low,Existing ChurnIQ ML Model,20.61,202.25,Loyal Customer,Low,3612,20.23,Maintain service quality and reward customer loyalty.,"Focus on loyalty, advocacy and long-term value.",14.53,Standard Engagement
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,1,Churn,70.67,70.67,High,Existing ChurnIQ ML Model,68.48,20.15,Standard Customer,High,1294,14.24,Launch an early-tenure onboarding and engagement campaign.,Strengthen onboarding to prevent early customer churn.,48.01,Targeted Campaign
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,0,Retained,5.43,5.43,Low,Existing ChurnIQ ML Model,12.11,3505.1,Loyal Customer,Low,4187,190.33,Maintain service quality and reward customer loyalty.,"Focus on loyalty, advocacy and long-term value.",9.45,Standard Engagement
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,0,Retained,16.67,16.67,Low,Existing ChurnIQ ML Model,27.15,2970.3,Loyal Customer,Low,3241,495.15,Maintain service quality and reward customer loyalty.,"Focus on loyalty, advocacy and long-term value.",21.54,Standard Engagement
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,0,Retained,28.84,28.84,Medium,Existing ChurnIQ ML Model,37.97,1530.6,Standard Customer,Monitor,2652,441.43,Monitor behavior and provide proactive customer engagement.,Customer should remain under regular retention monitoring.,28.84,Email / In-App
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,1,Churn,73.28,73.28,High,Existing ChurnIQ ML Model,73.22,4749.15,High Value At Risk,High,1053,3480.18,Review payment experience and offer an easier payment option.,Improve payment convenience and provide targeted engagement.,69.06,Targeted Campaign
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,1,Churn,77.77,77.77,High,Existing ChurnIQ ML Model,77.25,30.2,Standard Customer,High,857,23.49,Review payment experience and offer an easier payment option.,Improve payment convenience and provide targeted engagement.,54.2,Targeted Campaign
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,0,Retained,0.09,0.09,Low,Existing ChurnIQ ML Model,8.84,6369.45,Loyal Customer,Low,4453,5.73,Maintain service quality and reward customer loyalty.,"Focus on loyalty, advocacy and long-term value.",6.22,Standard Engagement
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,1,Churn,69.45,69.45,High,Existing ChurnIQ ML Model,68.95,1093.1,Standard Customer,High,1270,759.16,Provide personalized service outreach and retention incentives.,Proactive customer engagement is recommended.,52.15,Targeted Campaign
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,0,Retained,4.6,4.6,Low,Existing ChurnIQ ML Model,12.63,6766.95,Loyal Customer,Low,4144,311.28,Maintain service quality and reward customer loyalty.,"Focus on loyalty, advocacy and long-term value.",10.43,Standard Engagement
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0,Churn,70.22,70.22,High,Existing ChurnIQ ML Model,74.03,181.65,Standard Customer,High,1016,127.55,Launch an early-tenure onboarding and engagement campaign.,Strengthen onboarding to prevent early customer churn.,52.47,Targeted Campaign
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,0,Retained,12.41,12.41,Low,Existing ChurnIQ ML Model,23.9,1874.45,Loyal Customer,Low,3431,232.62,Maintain service quality and reward customer loyalty.,"Focus on loyalty, advocacy and long-term value.",17.92,Standard Engagement
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0,Retained,46.89,46.89,Medium,Existing ChurnIQ ML Model,51.84,20.2,Standard Customer,Monitor,2015,9.47,Monitor behavior and provide proactive customer engagement.,Customer should remain under regular retention monitoring.,36.34,Email / In-App
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0,Churn,64.33,64.33,High,Existing ChurnIQ ML Model,66.04,45.25,Standard Customer,High,1410,29.11,Launch an early-tenure onboarding and engagement campaign.,Strengthen onboarding to prevent early customer churn.,46.38,Targeted Campaign
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,0,Retained,8.22,8.22,Low,Existing ChurnIQ ML Model,15.3,7251.7,Loyal Customer,Low,3947,596.09,Maintain service quality and reward customer loyalty.,"Focus on loyalty, advocacy and long-term value.",13.76,Standard Engagement
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,Churn,80.1,80.1,Critical,Existing ChurnIQ ML Model,81.47,316.9,Critical Retention,Immediate,636,253.84,Offer a personalized contract upgrade or retention incentive.,Immediate intervention with a targeted retention offer.,58.33,Personal Outreach
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,0,Retained,41.07,41.07,Medium,Existing ChurnIQ ML Model,45.86,3548.3,Standard Customer,Monitor,2278,1457.29,Monitor behavior and provide proactive customer engagement.,Customer should remain under regular retention monitoring.,39.56,Email / In-App
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,1,Churn,79.17,79.17,High,Existing ChurnIQ ML Model,79.71,3549.25,High Value At Risk,High,736,2809.94,Review payment experience and offer an easier payment option.,Improve payment convenience and provide targeted engagement.,70.17,Targeted Campaign
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,Churn,93.73,93.73,Critical,Existing ChurnIQ ML Model,89.42,1105.4,Critical Retention,Immediate,222,1036.09,Offer a personalized contract upgrade or retention incentive.,Immediate intervention with a targeted retention offer.,67.89,Personal Outreach
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,0,Retained,22.22,22.22,Medium,Existing ChurnIQ ML Model,31.81,475.7,Standard Customer,Monitor,2979,105.7,Monitor behavior and provide proactive customer engagement.,Customer should remain under regular retention monitoring.,22.81,Email / In-App
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,0,Retained,3.71,3.71,Low,Existing ChurnIQ ML Model,9.98,4872.35,Loyal Customer,Low,4359,180.76,Maintain service quality and reward customer loyalty.,"Focus on loyalty, advocacy and long-term value.",7.91,Standard Engagement
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,0,Retained,5.0,5.0,Low,Existing ChurnIQ ML Model,16.49,418.25,Loyal Customer,Low,3877,20.91,Maintain service quality and reward customer loyalty.,"Focus on loyalty, advocacy and long-term value.",11.65,Standard Engagement
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,0,Retained,6.49,6.49,Low,Existing ChurnIQ ML Model,13.75,4861.45,Loyal Customer,Low,4057,315.51,Maintain service quality and reward customer loyalty.,"Focus on loyalty, advocacy and long-term value.",11.24,Standard Engagement
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,0,Retained,35.91,35.91,Medium,Existing ChurnIQ ML Model,49.94,981.45,Standard Customer,Monitor,2094,352.44,Monitor behavior and provide proactive customer engagement.,Customer should remain under regular retention monitoring.,36.76,Email / In-App
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,0,Churn,69.55,69.55,High,Existing ChurnIQ ML Model,69.15,3906.7,High Value At Risk,High,1261,2717.11,Review payment experience and offer an easier payment option.,Improve payment convenience and provide targeted engagement.,62.3,Targeted Campaign
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,0,Churn,59.45,59.45,High,Existing ChurnIQ ML Model,62.8,97.0,Standard Customer,High,1552,57.67,Launch an early-tenure onboarding and engagement campaign.,Strengthen onboarding to prevent early customer churn.,44.26,Targeted Campaign
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,Churn,90.11,90.11,Critical,Existing ChurnIQ ML Model,89.77,144.15,Critical Retention,Immediate,205,129.89,Offer a personalized contract upgrade or retention incentive.,Immediate intervention with a targeted retention offer.,63.5,Personal Outreach
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,0,Retained,6.17,6.17,Low,Existing ChurnIQ ML Model,15.04,4217.8,Loyal Customer,Low,3966,260.24,Maintain service quality and reward customer loyalty.,"Focus on loyalty, advocacy and long-term value.",11.86,Standard Engagement
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,0,Retained,11.73,11.73,Low,Existing ChurnIQ ML Model,15.33,4254.1,Loyal Customer,Low,3946,499.01,Maintain service quality and reward customer loyalty.,"Focus on loyalty, advocacy and long-term value.",13.28,Standard Engagement
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,0,Churn,67.01,67.01,High,Existing ChurnIQ ML Model,68.67,3838.75,High Value At Risk,High,1285,2572.35,Review payment experience and offer an easier payment option.,Improve payment convenience and provide targeted engagement.,61.23,Targeted Campaign
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,Churn,75.89,75.89,High,Existing ChurnIQ ML Model,76.48,1426.4,Standard Customer,High,892,1082.49,Provide personalized service outreach and retention incentives.,Proactive customer engagement is recommended.,59.07,Targeted Campaign
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0,Retained,20.21,20.21,Medium,Existing ChurnIQ ML Model,33.75,1752.65,Standard Customer,Monitor,2869,354.21,Monitor behavior and provide proactive customer engagement.,Customer should remain under regular retention monitoring.,25.44,Email / In-App
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,Churn,83.1,83.1,Critical,Existing ChurnIQ ML Model,81.03,633.3,Critical Retention,Immediate,662,526.27,Offer a personalized contract upgrade or retention incentive.,Immediate intervention with a targeted retention offer.,59.41,Personal Outreach
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,0,Retained,13.73,13.73,Low,Existing ChurnIQ ML Model,20.93,4456.35,Loyal Customer,Low,3597,611.86,Maintain service quality and reward customer loyalty.,"Focus on loyalty, advocacy and long-term value.",17.78,Standard Engagement
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,Churn,87.99,87.99,Critical,Existing ChurnIQ ML Model,87.24,1752.55,Critical Retention,Immediate,326,1542.07,Offer a personalized contract upgrade or retention incentive.,Immediate intervention with a targeted retention offer.,68.96,Personal Outreach
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,0,Retained,32.29,32.29,Medium,Existing ChurnIQ ML Model,35.48,6311.2,Stable Valuable,Monitor,2788,2037.89,Monitor behavior and provide proactive customer engagement.,Customer should remain under regular retention monitoring.,35.26,Email / In-App
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,0,Retained,34.73,34.73,Medium,Existing ChurnIQ ML Model,40.47,7076.35,Growth Opportunity,Monitor,2512,2457.62,Introduce relevant upgrades and personalized offers.,Use engagement and cross-sell opportunities to strengthen loyalty.,40.9,Email / In-App
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,0,Retained,1.1,1.1,Low,Existing ChurnIQ ML Model,9.63,894.3,Loyal Customer,Low,4387,9.84,Maintain service quality and reward customer loyalty.,"Focus on loyalty, advocacy and long-term value.",6.79,Standard Engagement
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,0,Retained,23.07,23.07,Low,Existing ChurnIQ ML Model,26.3,7853.7,Loyal Customer,Low,3288,1811.85,Maintain service quality and reward customer loyalty.,"Focus on loyalty, advocacy and long-term value.",27.68,Standard Engagement
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,0,Churn,70.21,70.21,High,Existing ChurnIQ ML Model,71.17,4707.1,High Value At Risk,High,1157,3304.85,Review payment experience and offer an easier payment option.,Improve payment convenience and provide targeted engagement.,66.73,Targeted Campaign
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,0,Retained,48.97,48.97,Medium,Existing ChurnIQ ML Model,50.65,5450.7,Standard Customer,Monitor,2068,2669.21,Monitor behavior and provide proactive customer engagement.,Customer should remain under regular retention monitoring.,49.11,Email / In-App
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,0,Retained,5.37,5.37,Low,Existing ChurnIQ ML Model,8.71,2962.0,Loyal Customer,Low,4465,159.06,Maintain service quality and reward customer loyalty.,"Focus on loyalty, advocacy and long-term value.",6.91,Standard Engagement
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,0,Retained,18.53,18.53,Low,Existing ChurnIQ ML Model,28.5,957.1,Loyal Customer,Low,3164,177.35,Maintain service quality and reward customer loyalty.,"Focus on loyalty, advocacy and long-term value.",20.86,Standard Engagement
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,Churn,83.41,83.41,Critical,Existing ChurnIQ ML Model,85.2,857.25,Critical Retention,Immediate,420,715.03,Offer a personalized contract upgrade or retention incentive.,Immediate intervention with a targeted retention offer.,63.3,Personal Outreach
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,0,Retained,40.26,40.26,Medium,Existing ChurnIQ ML Model,54.31,244.1,Standard Customer,Monitor,1914,98.27,Monitor behavior and provide proactive customer engagement.,Customer should remain under regular retention monitoring.,38.52,Email / In-App
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,0,Retained,21.35,21.35,Medium,Existing ChurnIQ ML Model,31.4,3650.35,Stable Valuable,Monitor,3001,779.35,Monitor behavior and provide proactive customer engagement.,Customer should remain under regular retention monitoring.,25.97,Email / In-App
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,0,Retained,8.01,8.01,Low,Existing ChurnIQ ML Model,19.2,2497.2,Loyal Customer,Low,3691,200.03,Maintain service quality and reward customer loyalty.,"Focus on loyalty, advocacy and long-term value.",14.46,Standard Engagement
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,0,Retained,0.48,0.48,Low,Existing ChurnIQ ML Model,6.59,930.9,Loyal Customer,Low,4595,4.47,Maintain service quality and reward customer loyalty.,"Focus on loyalty, advocacy and long-term value.",4.64,Standard Engagement
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,0,Retained,44.59,44.59,Medium,Existing ChurnIQ ML Model,53.73,887.35,Standard Customer,Monitor,1942,395.67,Monitor behavior and provide proactive customer engagement.,Customer should remain under regular retention monitoring.,39.64,Email / In-App
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,0,Retained,49.34,49.34,Medium,Existing ChurnIQ ML Model,55.85,49.05,Standard Customer,Monitor,1846,24.2,Monitor behavior and provide proactive customer engagement.,Customer should remain under regular retention monitoring.,39.22,Email / In-App
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,0,Retained,3.69,3.69,Low,Existing ChurnIQ ML Model,13.68,1090.65,Loyal Customer,Low,4063,40.24,Maintain service quality and reward customer loyalty.,"Focus on loyalty, advocacy and long-term value.",9.78,Standard Engagement
